topic_id,priority,topic,source,channel,playlist,playlist_url,video_position,video_title,duration_min,resume_linked,status
P0-01,P0,"@Transactional - propagation, isolation, proxy failure",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,13,Spring boot @Transactional Annotation - Part1,25,yes,not_started
P0-01,P0,"@Transactional - propagation, isolation, proxy failure",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,14,"Spring boot @Transactional Annotation - Part2 | Declarative, Programmatic Approach and Propagation",38,yes,not_started
P0-01,P0,"@Transactional - propagation, isolation, proxy failure",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,15,Spring boot @Transactional Annotation - Part3 | Isolation Level and its different types,39,yes,not_started
P0-02,P0,AOP + proxy mechanism,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,12,Spring boot AOP (Aspect Oriented Programming),69,no,not_started
P0-03,P0,"Bean lifecycle, IoC, DI, scopes",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,6,Spring boot: Bean and its Lifecycle | Inversion of Control (IOC),34,no,not_started
P0-03,P0,"Bean lifecycle, IoC, DI, scopes",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,7,Dependency Injection in Spring boot | With Advantages and Disadvantages,39,no,not_started
P0-03,P0,"Bean lifecycle, IoC, DI, scopes",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,8,"Spring boot: Bean Scopes | Singleton, Prototype, Request, Session Scopes with Examples in Java",40,no,not_started
P0-04,P0,"JPA core - entity lifecycle, L1 cache, N+1",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,24,"Spring boot: JPA (Part-2) | Setup, JPA Architecture, Entity Lifecycle",63,yes,not_started
P0-04,P0,"JPA core - entity lifecycle, L1 cache, N+1",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,25,Spring boot: JPA (Part-3) | First Level Caching in JPA,24,yes,not_started
P0-04,P0,"JPA core - entity lifecycle, L1 cache, N+1",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,30,"Spring boot: JPA (Part-8) | JPQL, Derived Query, N+1 Problem, Joins, Pagination and Sorting etc.",59,yes,not_started
P0-05,P0,HashMap internals + Collections framework,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,22,Collections in Java - Part1 | Java Collections Framework in depth,41,no,not_started
P0-05,P0,HashMap internals + Collections framework,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,25,Collections in Java - Part4 | HashMap Internal Working in Java,58,no,not_started
P0-06,P0,Streams + functional interfaces + lambdas,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,17,Functional Interface and Lambda Expression - Java8 features | Java Interfaces Part3,32,no,not_started
